raw,clean
"Cavan/Monaghan","Cavan/Monaghan"
"Clare","Clare"
"Co Cork, Cork City","Cork City"
"Co Cork, Cork North","Cork North"
"Co Kerry, Cork West","Cork West"
"Co Donegal, Donegal","Donegal"
"Co Dublin, D.M.R. Eastern","DMR East"
"Co Louth, Louth","Louth"
"Co Mayo, Mayo","Mayo"
"Co Tipperary, Tipperary","Tipperary"
"Co Waterford, Waterford","Waterford"
"Co. Cork, Cork West","Cork West"
"Co. Kerry, Kerry","Kerry"
"Co. Offaly, Laois/Offaly","Laois/Offaly"
"Co. Tipperary, Tipperary","Tipperary"
"Cork City","Cork City"
"Cork North","Cork North"
"Cork West","Cork West"
"D.M.R. Eastern","DMR East"
"D.M.R. North Central","DMR North Central"
"D.M.R. Northern","DMR North"
"D.M.R. South Central","DMR South Central"
"D.M.R. Southern","DMR South"
"D.M.R. Western","DMR West"
"Donegal","Donegal"
"Galway","Galway"
"Kerry","Kerry"
"Kildare","Kildare"
"Kilkenny/Carlow","Kilkenny/Carlow"
"Laois/Offaly","Laois/Offaly"
"Limerick","Limerick"
"Louth","Louth"
"Mayo","Mayo"
"Meath","Meath"
"Roscommon/Longford","Roscommon/Longford"
"Sligo/Leitrim","Sligo/Leitrim"
"Tipperary","Tipperary"
"Waterford","Waterford"
"Westmeath","Westmeath"
"Wexford","Wexford"
"Wicklow","Wicklow"